year,ac_no,ac_name,district,turnout_pct,winner_candidate,winner_party,winner_votes,winner_pct,runnerup_candidate,runnerup_party,runnerup_votes,runnerup_pct,margin_votes
2017,1,Behat,Saharanpur,,Naresh Saini,INC,97035.0,38.66,Mahaveer Singh Rana,BJP,71449.0,28.47,25586.0
2017,2,Nakur,Saharanpur,,Dharam Singh Saini,BJP,94375.0,37.11,Imran Masood,INC,90318.0,35.52,4057.0
2017,3,Saharanpur Nagar,Saharanpur,,Sanjay Garg,SP,127210.0,46.8,Rajiv Gumber,BJP,122574.0,45.09,4636.0
2017,4,Saharanpur,Saharanpur,,Masood Akhtar,INC,87689.0,37.08,Jagpal Singh,BSP,75365.0,31.87,12324.0
2017,5,Deoband,Saharanpur,,Brijesh Singh,BJP,102244.0,43.79,Majid Ali,BSP,72844.0,31.2,29400.0
2017,6,Rampur Maniharan (SC),Saharanpur,,Devendra Kumar Nim,BJP,76465.0,35.08,Ravinder Kumar Molhu,BSP,75870.0,34.81,595.0
2017,7,Gangoh,Saharanpur,,Pradeep Kumar,BJP,99446.0,38.78,Nauman Masood,INC,61418.0,23.95,38028.0
2017,8,Kairana,Shamli,,Nahid Hasan,SP,98830.0,47.5,Mriganka Singh,BJP,77668.0,37.33,21162.0
2017,9,Thana Bhawan,Shamli,,Suresh Rana,BJP,90995.0,42.96,Abdul Warish Khan,BSP,74178.0,35.02,16817.0
2017,10,Shamli,Shamli,,Tejendra Nirwal,BJP,70085.0,35.86,Pankaj Kumar Malik,INC,40365.0,20.65,29720.0
2017,11,Budhana,Muzaffarnagar,,Umesh Malik,BJP,97781.0,40.77,Pramod Tyagi,SP,84580.0,35.27,13201.0
2017,12,Charthawal,Muzaffarnagar,,Vijay Kumar Kashyap,BJP,82046.0,39.84,Mukesh Kumar Chaudhary,SP,58815.0,28.56,23231.0
2017,13,Purqazi (SC),Muzaffarnagar,,Pramod Utwal,BJP,77491.0,38.14,Deepak Kumar,INC,66238.0,32.6,11253.0
2017,14,Muzaffarnagar,Muzaffarnagar,,Kapil Dev Aggarwal,BJP,97838.0,45.62,Gaurav Swarup Bansal,SP,87134.0,40.63,10704.0
2017,15,Khatauli,Muzaffarnagar,,Vikram Singh Saini,BJP,94771.0,44.62,Chandan Chauhan,SP,63397.0,29.85,31374.0
2017,16,Meerapur,Muzaffarnagar,,Avtar Singh Bhadana,BJP,69035.0,33.95,Liyakat Ali,SP,68842.0,33.86,193.0
2017,17,Najibabad,Bijnor,,Tasleem,SP,81082.0,37.81,Rajiv Kumar Agarwal,BJP,79080.0,36.88,2002.0
2017,18,Nagina (SC),Bijnor,,Manoj Kumar Paras,SP,77145.0,37.0,Omvati Devi,BJP,69178.0,33.18,7967.0
2017,19,Barhapur,Bijnor,,Kunwar Sushant Singh,BJP,78744.0,35.54,Husain Ahmad,INC,68920.0,31.1,9824.0
2017,20,Dhampur,Bijnor,,Ashok Kumar Rana,BJP,82169.0,42.81,Thakur Moolchand Chauhan,SP,64305.0,33.5,17864.0
2017,21,Nehtaur (SC),Bijnor,,Om Kumar,BJP,76644.0,41.0,Munnalal Premi,INC,53493.0,28.62,23151.0
2017,22,Bijnor,Bijnor,,Suchi,BJP,105548.0,43.16,Ruchi Veera,SP,78267.0,32.01,27281.0
2017,23,Chandpur,Bijnor,,Kamlesh Saini,BJP,92345.0,42.45,Mohammad Iqbal,BSP,56696.0,26.06,35649.0
2017,24,Noorpur,Bijnor,,Lokendra Singh,BJP,79172.0,39.2,Naim Ul Hasan,SP,66436.0,32.89,12736.0
2017,25,Kanth,Moradabad,,Rajesh Kumar Singh,BJP,76307.0,30.29,Anees Ur Rehman,SP,73959.0,29.36,2348.0
2017,26,Thakurdwara,Moradabad,,Nawab Jan,SP,107865.0,42.24,Rajpal Singh Chauhan,BJP,94456.0,36.99,13409.0
2017,27,Moradabad Rural,Moradabad,,Haji Ikram Qureshi,SP,97916.0,44.36,Hari Om Sharma,BJP,69135.0,31.32,28781.0
2017,28,Moradabad Nagar,Moradabad,,Ritesh Kumar Gupta,BJP,123467.0,44.74,Mohammad Yusuf Ansari,SP,120274.0,43.59,3193.0
2017,29,Kundarki,Moradabad,,Mohammad Rizwan,SP,110561.0,42.01,Ramveer Singh,BJP,99740.0,37.9,10821.0
2017,30,Bilari,Moradabad,,Mohd. Faheem,SP,85682.0,37.58,Suresh Saini,BJP,72241.0,31.69,13441.0
2017,31,Chandausi (SC),Sambhal,,Gulab Devi,BJP,104806.0,47.22,Vimesh Kumari,INC,59337.0,26.74,45469.0
2017,32,Asmoli,Sambhal,,Pinki Singh Yadav,SP,97610.0,39.33,Narendra Singh,BJP,76484.0,30.82,21126.0
2017,33,Sambhal,Sambhal,,Iqbal Mehmood,SP,79248.0,33.07,Ziaurrehman Barq,AIMIM,60426.0,25.04,18822.0
2017,34,Suar,Rampur,,Abdullah Azam Khan,SP,106443.0,51.9,Laxmi Saini,BJP,53347.0,26.01,53096.0
2017,35,Chamraua,Rampur,,Naseer Ahmed Khan,SP,87400.0,45.24,Ali Yusuf Ali,BSP,53024.0,27.44,34376.0
2017,36,Bilaspur,Rampur,,Baldev Singh Aulakh,BJP,99100.0,44.55,Sanjay Kapoor,INC,76741.0,34.5,22359.0
2017,37,Rampur,Rampur,,Mohammad Azam Khan,SP,102100.0,47.74,Shiv Bahadur Saxena,BJP,55258.0,25.84,46842.0
2017,38,Milak (SC),Rampur,,Rajbala,BJP,89861.0,41.82,Vijay Singh,SP,73194.0,34.07,16667.0
2017,39,Dhanaura (SC),Amroha,,Rajeev Tarara,BJP,102943.0,46.09,Jagram Singh,SP,64714.0,28.97,38229.0
2017,40,Naugawan Sadat,Amroha,,Chetan Chauhan,BJP,97030.0,41.63,Javed Abbas,SP,76382.0,32.77,20648.0
2017,41,Amroha,Amroha,,Mehboob Ali,SP,74713.0,37.33,Naushad Ali,BSP,59671.0,29.81,15042.0
2017,42,Hasanpur,Amroha,,Mahender Singh Khadakvanshi,BJP,111269.0,43.94,Kamal Akhtar,SP,83499.0,32.97,27770.0
2017,43,Siwalkhas,Meerut,,Jitendra Pal Singh,BJP,72842.0,32.48,Ghulam Mohammed,SP,61421.0,27.39,11421.0
2017,44,Sardhana,Meerut,,Sangeet Singh Som,BJP,97921.0,41.11,Atul Pradhan,SP,76296.0,32.04,21625.0
2017,45,Hastinapur,Meerut,,Dinesh Khatik,BJP,99436.0,45.12,Yogesh Verma,BSP,63374.0,28.76,36062.0
2017,46,Kithore,Meerut,,Satyavir Tyagi,BJP,90622.0,37.5,Shahid Manzoor,SP,79800.0,33.02,10822.0
2017,47,Meerut Cantt,Meerut,,Satya Prakash Agarwal,BJP,132518.0,56.2,Satendra Solanki,BSP,55899.0,23.7,76619.0
2017,48,Meerut,Meerut,,Rafiq Ansari,SP,103217.0,52.99,Laxmikant Bajpai,BJP,74448.0,38.22,28769.0
2017,49,Meerut South,Meerut,,Somendra Tomar,BJP,113225.0,42.03,Haji Mohammad Yaqub,BSP,77830.0,28.89,35395.0
2017,50,Chhaprauli,Baghpat,,Sahender Singh Ramala,RLD,65124.0,32.71,Satender Singh,BJP,61282.0,30.78,3842.0
2017,51,Baraut,Baghpat,,Krishna Pal Malik,BJP,79427.0,43.09,Sahab Singh,RLD,52941.0,28.72,26486.0
2017,52,Bagpat,Baghpat,,Yogesh Dhama,BJP,92566.0,46.83,Ahmed Hameed,BSP,61206.0,30.97,31360.0
2017,53,Loni,Ghaziabad,,Nand Kishor Gurjar,BJP,113088.0,41.44,Zakir Ali,BSP,70275.0,25.75,42813.0
2017,54,Muradnagar,Ghaziabad,,Ajit Pal Tyagi,BJP,140759.0,55.75,Sudhan Kumar,BSP,51147.0,20.26,89612.0
2017,55,Sahibabad,Ghaziabad,,Sunil Kumar Sharma,BJP,262741.0,62.14,Amarpal Sharma,INC,112056.0,26.5,150685.0
2017,56,Ghaziabad,Ghaziabad,,Atul Garg,BJP,124201.0,55.28,Suresh Bansal,BSP,53696.0,23.9,70505.0
2017,57,Modinagar,Ghaziabad,,Manju Shiwach,BJP,108631.0,50.57,Wahab Chaudhary,BSP,42049.0,19.58,66582.0
2017,58,Dholana,Hapur,,Aslam Choudhary,BSP,88580.0,35.07,Ramesh Chand Tomar,BJP,85004.0,33.66,3576.0
2017,59,Hapur,Hapur,,Vijay Pal,BJP,84532.0,38.13,Gajraj Singh,INC,69526.0,31.36,15006.0
2017,60,Garhmukteshwar,Hapur,,Kamal Singh Malik,BJP,91086.0,41.18,Prashant Choudhary,BSP,55792.0,25.22,35294.0
2017,61,Noida,Gautam Buddha Nagar,,Pankaj Singh,BJP,162417.0,64.29,Sunil Choudhary,SP,58401.0,23.12,104016.0
2017,62,Dadri,Gautam Buddha Nagar,,Tejpal Singh Nagar,BJP,141226.0,53.57,Satveer Singh Gurjar,BSP,61049.0,23.16,80177.0
2017,63,Jewar,Gautam Buddha Nagar,,Dhirendra Singh,BJP,102979.0,49.01,Vedram Bhati,BSP,80806.0,38.45,22173.0
2017,64,Sikandrabad,Bulandshahr,,Bimla Singh Solanki,BJP,104956.0,41.83,Mohammad Imran,BSP,76333.0,30.42,28623.0
2017,65,Bulandshahr,Bulandshahr,,Virendra Singh Sirohi,BJP,111538.0,45.82,Mohd. Aleem Khan,BSP,88454.0,36.33,23084.0
2017,66,Syana,Bulandshahr,,Devendra Singh Lodhi,BJP,125854.0,54.47,Dilnawaz Khan,BSP,54224.0,23.47,71630.0
2017,67,Anupshahr,Bulandshahr,,Sanjay Sharma,BJP,112431.0,49.28,Gajendra Singh,BSP,52117.0,22.84,60314.0
2017,68,Debai,Bulandshahr,,Anita Singh Rajput,BJP,111807.0,53.82,Harish Kumar,SP,46177.0,22.23,65630.0
2017,69,Shikarpur,Bulandshahr,,Anil Kumar,BJP,101912.0,50.79,Mukul Upadhyay,BSP,51667.0,25.75,50245.0
2017,70,Khurja (SC),Bulandshahr,,Vijendra Singh Khatik,BJP,119493.0,50.79,Arjun Singh,BSP,55194.0,23.46,64299.0
2017,71,Khair (SC),Aligarh,,Anoop Pradhan,BJP,124198.0,53.89,Rakesh Kumar,SP,53477.0,23.2,70721.0
2017,72,Barauli,Aligarh,,Dalveer Singh,BJP,125545.0,53.7,Thakur Jaivir Singh,BSP,86782.0,37.12,38763.0
2017,73,Atrauli,Aligarh,,Sandeep Kumar Singh,BJP,115397.0,49.9,Viresh Yadav,SP,64430.0,27.86,50967.0
2017,74,Chharra,Aligarh,,Thakur Ravendra Pal Singh,BJP,110738.0,48.62,Thakur Rakesh Singh,SP,54604.0,23.98,56134.0
