year,ac_no,ac_name,district,turnout_pct,winner_candidate,winner_party,winner_votes,winner_pct,runnerup_candidate,runnerup_party,runnerup_votes,runnerup_pct,margin_votes
2022,284,Matera,Bahraich,62.64,Mariya Shah,SP,102255.0,48.13,Arun Veer Singh,BJP,91827.0,43.24,10428.0
2022,285,Mahasi,Bahraich,63.06,Sureshwar Singh,BJP,117883.0,54.58,Krishna Kumar Ojha,SP,75199.0,34.82,42684.0
2022,286,Bahraich,Bahraich,59.04,Anupma Jaiswal,BJP,107628.0,46.45,Yasar Shah,SP,103550.0,44.69,4078.0
2022,287,Payagpur,Bahraich,59.12,Subhash Tripathi,BJP,110162.0,47.77,Mukesh Srivastava,SP,98106.0,42.54,12056.0
2022,288,Kaiserganj,Bahraich,58.13,Anand Kumar,SP,103195.0,45.51,Gaurav Verma,BJP,95424.0,42.11,7771.0
2022,289,Bhinga,Shrawasti,58.76,Indrani Devi,SP,103661.0,44.85,Padam Sen Chaudhary,BJP,90087.0,38.98,13574.0
2022,290,Shrawasti,Shrawasti,60.81,Ram Feran Pandey,BJP,98640.0,38.98,Mohhamad Aslam Rainee,SP,97183.0,38.4,1457.0
2022,291,Tulsipur,Balrampur,52.81,Kailash Nath Shukla,BJP,87092.0,42.92,Zeba Rizwan,IND,51251.0,25.27,35841.0
2022,292,Gainsari,Balrampur,51.94,Shiv Pratap Yadav,SP,75345.0,39.68,Shailesh Kumar Singh,BJP,69508.0,36.61,5837.0
2022,293,Utraula,Balrampur,45.07,Ram Pratap Verma,BJP,87162.0,44.43,Haseeb Hasan Khan,SP,65393.0,33.93,21769.0
2022,294,Balrampur (SC),Balrampur,48.3,Paltu Ram,BJP,101146.0,48.93,Jagram Paswan,SP,90175.0,43.62,10971.0
2022,295,Mehnaun,Gonda,58.58,Vinay Kumar Dwivedi,BJP,107237.0,50.05,Nandita Shukla,SP,84109.0,39.22,23128.0
2022,296,Gonda,Gonda,57.54,Prateek Bhushan Singh,BJP,96528.0,48.21,Suraj Singh,SP,89828.0,44.87,6700.0
2022,297,Katra Bazar,Gonda,60.54,Bawan Singh,BJP,112291.0,47.86,Baijnath Dubey,SP,93834.0,39.99,18457.0
2022,298,Colonelganj,Gonda,58.64,Ajay,BJP,108109.0,55.8,Yogesh Pratap Singh,SP,72637.0,37.49,35472.0
2022,299,Tarabganj,Gonda,57.46,Prem Narayan Pandey,BJP,125325.0,59.39,Ram Bhajan Chaubey,SP,71365.0,33.95,53690.0
2022,300,Mankapur (SC),Gonda,55.2,Ramapati Shastri,BJP,105677.0,57.69,Ramesh Chandra,SP,63328.0,34.57,42349.0
2022,301,Gaura,Gonda,53.79,Prabhat Kumar Verma,BJP,73545.0,42.62,Sanjay Kumar,SP,50571.0,29.31,22974.0
2022,302,Shohratgarh,Siddharthnagar,52.81,Vinay Verma,AD(S),71062.0,37.46,Prem Chand Nishad,SBSP,46599.0,22.56,24463.0
