risk_rank,ac_no,constituency,district,risk_score,winner_party_2022,winner_candidate_2022,winner_pct_2022,runnerup_party_2022,runnerup_candidate_2022,runnerup_pct_2022,margin_votes_2022,margin_pct_2022,margin_pct_2017,margin_trend,seat_turnover,closeness_score,trend_score,turnover_score
209,162,Bangarmau,Unnao,61.07,BJP,Shrikant Katiyar,44.7,SP,Dr. Munna,36.94,15793.0,7.760000000000005,14.149999999999999,6.3899999999999935,False,84.47999999999999,62.77999999999999,0.0
210,297,Katra Bazar,Gonda,60.87,BJP,Bawan Singh,47.86,SP,Baijnath Dubey,39.99,18457.0,7.869999999999997,14.100000000000001,6.230000000000004,False,84.26,62.46000000000001,0.0
211,221,Orai (SC),Jalaun,60.77,BJP,Gauri Shankar,47.45,SP,Dayashankar Verma,33.56,37648.0,13.89,29.990000000000002,16.1,False,72.22,82.2,0.0
212,76,Aligarh,Aligarh,60.69,BJP,Mukta Raja,47.66,SP,Zafar Alam,42.6,12786.0,5.059999999999995,6.309999999999995,1.25,False,89.88000000000001,52.5,0.0
213,149,Biswan,Sitapur,60.65,BJP,Nirmal Verma,44.77,SP,Afzaal Kausar,40.35,10478.0,4.420000000000002,4.530000000000001,0.10999999999999943,False,91.16,50.22,0.0
214,183,Unchahar,Raebareli,60.56,SP,Manoj Kumar Pandey,38.92,BJP,Amarpal Maurya,35.79,6621.0,3.1300000000000026,0.9400000000000013,-2.1900000000000013,False,93.74,45.62,0.0
215,307,Harraiya,Basti,60.41,BJP,Ajay Kumar Singh,39.75,SP,Triyambak Pathak,31.57,18329.0,8.18,14.169999999999998,5.989999999999998,False,83.64,61.98,0.0
216,125,Bareilly Cantt,Bareilly,60.39,BJP,Sanjeev Agarwal,50.43,SP,Supriya Aron,44.94,10768.0,5.490000000000002,6.950000000000003,1.4600000000000009,False,89.02,52.92,0.0
217,25,Kanth,Moradabad,60.33,SP,Kamal Akhtar,49.19,BJP,Rajesh Kumar Singh,33.42,43178.0,15.769999999999996,0.9299999999999997,-14.839999999999996,True,68.46000000000001,20.320000000000007,100.0
218,139,Gola Gokrannath,Lakhimpur Kheri,60.29,BJP,Arvind Giri,48.67,SP,Vinay Tiwari,37.4,29294.0,11.270000000000003,22.2,10.929999999999996,False,77.46,71.85999999999999,0.0
219,7,Gangoh,Saharanpur,60.04,BJP,Kirat Singh,43.08,SP,Inder Sain,34.42,23449.0,8.659999999999997,14.830000000000002,6.170000000000005,False,82.68,62.34000000000001,0.0
220,369,Machhlishahr (SC),Jaunpur,59.99,SP,Ragini Sonkar,41.99,BJP,Mihilal Gautam,38.1,8484.0,3.8900000000000006,2.030000000000001,-1.8599999999999994,False,92.22,46.28,0.0
